BRANCH_ID|BRANCH_CODE|BRANCH_NAME|BRANCH_TYPE|CITY|COUNTY|REGION|POSTAL_CODE|COUNTRY_CODE|LATITUDE|LONGITUDE|OPENING_DATE|IS_ACTIVE|EMPLOYEE_COUNT
101|OSL001|Oslo Sentrum|FULL_SERVICE|Oslo|Oslo|OSTLANDET|0155|NOR|59.9139000|10.7522000|1990-01-01|1|45
102|OSL002|Oslo Majorstuen|FULL_SERVICE|Oslo|Oslo|OSTLANDET|0302|NOR|59.9291000|10.7131000|1995-06-01|1|28
103|OSL003|Oslo Storo|FULL_SERVICE|Oslo|Oslo|OSTLANDET|0484|NOR|59.9467000|10.7764000|2005-03-15|1|22
104|OSL004|Oslo Digital Hub|DIGITAL|Oslo|Oslo|OSTLANDET|0150|NOR|59.9116000|10.7500000|2020-01-15|1|8
201|BER001|Bergen Sentrum|FULL_SERVICE|Bergen|Vestland|VESTLANDET|5003|NOR|60.3913000|5.3221000|1992-04-01|1|35
202|STV001|Stavanger Sentrum|FULL_SERVICE|Stavanger|Rogaland|VESTLANDET|4006|NOR|58.9700000|5.7331000|1991-08-15|1|30
203|STV002|Stavanger Forus|FULL_SERVICE|Stavanger|Rogaland|VESTLANDET|4031|NOR|58.8924000|5.7307000|2002-09-01|1|18
204|ALS001|Alesund Sentrum|FULL_SERVICE|Alesund|More og Romsdal|VESTLANDET|6002|NOR|62.4722000|6.1495000|1993-11-01|1|15
301|TRD001|Trondheim Sentrum|FULL_SERVICE|Trondheim|Trondelag|TRONDELAG|7011|NOR|63.4305000|10.3951000|1991-02-01|1|32
302|TRD002|Trondheim Lade|KIOSK|Trondheim|Trondelag|TRONDELAG|7041|NOR|63.4400000|10.4400000|2015-06-01|1|5
401|TRM001|Tromso Sentrum|FULL_SERVICE|Tromso|Troms og Finnmark|NORD-NORGE|9008|NOR|69.6489000|18.9551000|1994-07-01|1|20
402|BOD001|Bodo Sentrum|FULL_SERVICE|Bodo|Nordland|NORD-NORGE|8006|NOR|67.2804000|14.4049000|1996-03-15|1|14
501|KRS001|Kristiansand Sentrum|FULL_SERVICE|Kristiansand|Agder|SORLANDET|4611|NOR|58.1462000|7.9956000|1993-05-01|1|18
502|FRD001|Fredrikstad Sentrum|FULL_SERVICE|Fredrikstad|Viken|OSTLANDET|1605|NOR|59.2181000|10.9298000|1997-10-01|1|16
