PRODUCT_ID|PRODUCT_CODE|PRODUCT_NAME|PRODUCT_CATEGORY|PRODUCT_SUBCATEGORY|BASE_INTEREST_RATE|MIN_BALANCE|FEE_STRUCTURE|MONTHLY_FEE|IS_REGULATED|LAUNCH_DATE|IS_ACTIVE
1|CHK-STD|Standard Brukskonto|DEPOSITS|Checking - Standard|0.0100|0.00|FIXED|0.00|1|2000-01-01|1
2|SAV-STD|Standard Sparekonto|DEPOSITS|Savings - Standard|2.7500|500.00|NONE|0.00|1|2000-01-01|1
3|SAV-PRM|Premium Sparekonto|DEPOSITS|Savings - Premium|3.2500|25000.00|NONE|0.00|1|2005-06-01|1
4|SAV-EUR|Euro Sparekonto|DEPOSITS|Savings - Foreign Currency|1.7500|1000.00|FIXED|25.00|1|2008-01-15|1
5|CC-STD|Standard Kredittkort|CARDS|Credit Card - Standard|19.9000|0.00|TIERED|49.00|1|2003-03-01|1
6|MTG-FIX|Fastrentelan Bolig|LENDING|Mortgage - Fixed Rate|3.8500|0.00|FIXED|0.00|1|2000-01-01|1
7|INV-FND|Fondskonto|INVESTMENT|Fund Account|0.0000|10000.00|PERCENTAGE|0.00|1|2010-01-15|1
8|CHK-BIZ|Bedriftskonto|DEPOSITS|Checking - Business|0.0200|0.00|TIERED|199.00|1|2000-01-01|1
9|LON-BIZ|Naeringslan|LENDING|Business Loan|4.2500|0.00|FIXED|0.00|1|2000-01-01|1
10|DEP-TRM|Fastrenteinnskudd|DEPOSITS|Term Deposit|3.0000|50000.00|NONE|0.00|1|2004-09-01|1
