ACCOUNT_ID|CUSTOMER_ID|ACCOUNT_TYPE|ACCOUNT_SUBTYPE|CURRENCY_CODE|OPENING_DATE|ACCOUNT_STATUS|INTEREST_RATE|CREDIT_LIMIT|OVERDRAFT_LIMIT|BRANCH_ID|PRODUCT_ID|IS_JOINT_ACCOUNT
ACCT-NO-100001|1001|CHECKING|PERSONAL|NOK|2015-06-01|ACTIVE|0.0100|0.00|25000.00|101|1|0
ACCT-NO-100002|1001|SAVINGS|PERSONAL|NOK|2015-06-15|ACTIVE|2.7500|0.00|0.00|101|2|0
ACCT-NO-100003|1002|CHECKING|PERSONAL|NOK|2018-01-15|ACTIVE|0.0100|0.00|10000.00|102|1|0
ACCT-NO-100004|1002|CREDIT_CARD|PERSONAL|NOK|2018-06-01|ACTIVE|19.9000|50000.00|0.00|102|5|0
ACCT-NO-100005|1003|CHECKING|PERSONAL|NOK|2012-09-20|ACTIVE|0.0100|0.00|50000.00|201|1|0
ACCT-NO-100006|1003|SAVINGS|PERSONAL|NOK|2012-10-01|ACTIVE|3.2500|0.00|0.00|201|3|0
ACCT-NO-100007|1003|MORTGAGE|PERSONAL|NOK|2013-03-15|ACTIVE|3.8500|0.00|0.00|201|6|1
ACCT-NO-100008|1004|CHECKING|PERSONAL|NOK|2020-03-10|ACTIVE|0.0100|0.00|5000.00|301|1|0
ACCT-NO-100009|1005|CHECKING|PERSONAL|NOK|2019-07-25|ACTIVE|0.0100|0.00|15000.00|401|1|0
ACCT-NO-100010|1005|SAVINGS|PERSONAL|NOK|2019-08-01|ACTIVE|2.5000|0.00|0.00|401|2|0
ACCT-NO-100011|1006|CHECKING|PERSONAL|NOK|2010-11-01|ACTIVE|0.0500|0.00|100000.00|202|1|0
ACCT-NO-100012|1006|SAVINGS|PERSONAL|EUR|2011-01-15|ACTIVE|1.7500|0.00|0.00|202|4|0
ACCT-NO-100013|1006|INVESTMENT|PERSONAL|NOK|2012-06-01|ACTIVE|0.0000|0.00|0.00|202|7|0
ACCT-NO-100014|1007|CHECKING|BUSINESS|NOK|2008-04-15|ACTIVE|0.0200|0.00|500000.00|203|8|0
ACCT-NO-100015|1007|LOAN|BUSINESS|NOK|2010-09-01|ACTIVE|4.2500|0.00|0.00|203|9|0
ACCT-NO-100016|1008|CHECKING|PERSONAL|NOK|2024-01-08|ACTIVE|0.0100|0.00|5000.00|302|1|0
ACCT-NO-100017|1009|CHECKING|PERSONAL|NOK|2016-05-30|ACTIVE|0.0100|0.00|30000.00|103|1|0
ACCT-NO-100018|1009|CREDIT_CARD|PERSONAL|NOK|2016-12-01|ACTIVE|17.5000|100000.00|0.00|103|5|0
ACCT-NO-100019|1010|CHECKING|PERSONAL|NOK|2017-08-12|ACTIVE|0.0100|0.00|10000.00|204|1|0
ACCT-NO-100020|1010|DEPOSIT|PERSONAL|NOK|2018-01-01|ACTIVE|3.0000|0.00|0.00|204|10|0
